SubID,SalVentAttn,SalVentAttn_Default,SalVentAttn_Cont,SalVentAttn_Limbic,SalVentAttn_DorsAttn,SalVentAttn_SomMot,SalVentAttn_Vis,SalVentAttn_TempPar,SalVentAttn_Subcortical
Subj001,0.415423709,-0.286953893,-0.018158823,-0.147144638,0.190654613,0.134161466,0.015357776,0.013282779,0.017020258
Subj002,0.258421693,0.022877433,0.101201139,0.042663663,-0.052011364,0.121795185,-0.19215736,0.169973569,0.101132029
