SubID,Global,Default,Cont,Limbic,SalVentAttn,DorsAttn,SomMot,Visual,TempPar,Subcortical
Subj001,0.700819577,0.793773775,0.416518276,0.695429068,0.762250797,0.717065869,0.757281529,0.897929672,0.873521644,0.60617657
Subj002,0.623872106,0.46050576,0.514666597,0.695971575,0.523961301,0.659889975,0.735030039,0.884015775,0.812963552,0.687430826
